id,county,totalcountconfirmed,totalcountdeaths,newcountconfirmed,newcountdeaths,date
338,Yuba,1245.0,10.0,10,0,2020-10-28T00:00:00
339,Madera,4954.0,76.0,12,2,2020-10-28T00:00:00
340,Tuolumne,277.0,5.0,2,1,2020-10-28T00:00:00
341,Kings,8486.0,83.0,75,0,2020-10-28T00:00:00
342,El Dorado,1363.0,4.0,12,0,2020-10-28T00:00:00
343,Shasta,1996.0,31.0,34,0,2020-10-28T00:00:00
344,San Benito,1429.0,15.0,1,0,2020-10-28T00:00:00
345,Sacramento,25838.0,499.0,137,3,2020-10-28T00:00:00
346,Contra Costa,18828.0,243.0,62,0,2020-10-28T00:00:00
347,Tulare,17569.0,291.0,49,3,2020-10-28T00:00:00
348,Fresno,31195.0,439.0,99,0,2020-10-28T00:00:00
349,Los Angeles,300726.0,7040.0,1288,13,2020-10-28T00:00:00
350,Del Norte,173.0,1.0,0,0,2020-10-28T00:00:00
351,Mono,176.0,2.0,7,0,2020-10-28T00:00:00
352,San Diego,55556.0,881.0,330,4,2020-10-28T00:00:00
353,Alpine,4.0,0.0,1,0,2020-10-28T00:00:00
354,Sonoma,9457.0,136.0,68,0,2020-10-28T00:00:00
355,Yolo,3230.0,60.0,14,1,2020-10-28T00:00:00
356,Siskiyou,182.0,0.0,1,0,2020-10-28T00:00:00
357,San Mateo,11101.0,159.0,27,0,2020-10-28T00:00:00
358,San Joaquin,21707.0,492.0,70,2,2020-10-28T00:00:00
359,Calaveras,278.0,21.0,1,3,2020-10-28T00:00:00
360,Glenn,673.0,3.0,6,0,2020-10-28T00:00:00
361,Sutter,1832.0,12.0,15,0,2020-10-27T00:00:00
362,San Joaquin,21637.0,490.0,178,1,2020-10-27T00:00:00
363,Placer,4197.0,57.0,36,0,2020-10-27T00:00:00
364,Merced,9449.0,155.0,74,0,2020-10-27T00:00:00
365,Imperial,12680.0,336.0,26,0,2020-10-27T00:00:00
366,Inyo,231.0,15.0,5,0,2020-10-27T00:00:00
367,Modoc,31.0,0.0,3,0,2020-10-27T00:00:00
368,Santa Clara,24368.0,392.0,110,4,2020-10-27T00:00:00
369,Sierra,6.0,0.0,0,0,2020-10-27T00:00:00
370,Fresno,31096.0,439.0,127,3,2020-10-27T00:00:00
371,Alameda,23365.0,462.0,81,1,2020-10-27T00:00:00
372,Mono,169.0,2.0,2,0,2020-10-27T00:00:00
373,Plumas,63.0,0.0,0,0,2020-10-27T00:00:00
374,Colusa,549.0,6.0,1,0,2020-10-27T00:00:00
375,Calaveras,277.0,18.0,3,0,2020-10-27T00:00:00
376,Napa,1979.0,16.0,13,0,2020-10-27T00:00:00
377,Humboldt,559.0,10.0,5,0,2020-10-27T00:00:00
378,Butte,3107.0,52.0,12,0,2020-10-27T00:00:00
379,San Bernardino,62357.0,1073.0,486,1,2020-10-27T00:00:00
380,San Francisco,12218.0,140.0,146,0,2020-10-27T00:00:00
381,Tulare,17520.0,288.0,88,0,2020-10-27T00:00:00
382,Kings,8411.0,83.0,147,0,2020-10-27T00:00:00
383,Amador,335.0,16.0,4,0,2020-10-27T00:00:00
384,Stanislaus,17720.0,398.0,54,1,2020-10-27T00:00:00
385,Contra Costa,18766.0,243.0,48,1,2020-10-27T00:00:00
386,Tuolumne,275.0,4.0,4,0,2020-10-27T00:00:00
387,Alpine,3.0,0.0,0,0,2020-10-27T00:00:00
388,Los Angeles,299438.0,7027.0,1477,27,2020-10-27T00:00:00
389,Out Of Country,0.0,0.0,0,0,2020-10-27T00:00:00
390,Marin,7070.0,127.0,6,-2,2020-10-27T00:00:00
